Category,Algorithm,N,Recall@N,
Grocery and Gourmet Food,UB-CF,5,0.01585,
Grocery and Gourmet Food,UB-CF,10,0.02167,
Grocery and Gourmet Food,UB-CF,15,0.02475,
Grocery and Gourmet Food,UB-CF,20,0.02776,
Grocery and Gourmet Food,FUNK-SVD,5,0.00923,
Grocery and Gourmet Food,FUNK-SVD,10,0.01385,
Grocery and Gourmet Food,FUNK-SVD,15,0.01739,
Grocery and Gourmet Food,FUNK-SVD,20,0.02174,
Grocery and Gourmet Food,TI-MF,5,0.00823,
Grocery and Gourmet Food,TI-MF,10,0.01177,
Grocery and Gourmet Food,TI-MF,15,0.01505,
Grocery and Gourmet Food,TI-MF,20,0.01753,
Grocery and Gourmet Food,RANDOM,5,0.00007,
Grocery and Gourmet Food,RANDOM,10,0.00020,
Grocery and Gourmet Food,RANDOM,15,0.00047,
Grocery and Gourmet Food,RANDOM,20,0.00067,
Grocery and Gourmet Food,ER-CBF,5,0.01585,
Grocery and Gourmet Food,ER-CBF,10,0.02408,
Grocery and Gourmet Food,ER-CBF,15,0.03251,
Grocery and Gourmet Food,ER-CBF,20,0.03967,
Grocery and Gourmet Food,MOD-ECF,5,0.00281,
Grocery and Gourmet Food,MOD-ECF,10,0.00488,
Grocery and Gourmet Food,MOD-ECF,15,0.00682,
Grocery and Gourmet Food,MOD-ECF,20,0.00990,
Pet Supplies,UB-CF,5,0.00428,
Pet Supplies,UB-CF,10,0.00554,
Pet Supplies,UB-CF,15,0.00873,
Pet Supplies,UB-CF,20,0.01445,
Pet Supplies,FUNK-SVD,5,0.00512,
Pet Supplies,FUNK-SVD,10,0.00909,
Pet Supplies,FUNK-SVD,15,0.01289,
Pet Supplies,FUNK-SVD,20,0.01572,
Pet Supplies,TI-MF,5,0.00331,
Pet Supplies,TI-MF,10,0.00452,
Pet Supplies,TI-MF,15,0.00674,
Pet Supplies,TI-MF,20,0.00939,
Pet Supplies,RANDOM,5,0.00006,
Pet Supplies,RANDOM,10,0.00018,
Pet Supplies,RANDOM,15,0.00030,
Pet Supplies,RANDOM,20,0.00048,
Pet Supplies,ER-CBF,5,0.01867,
Pet Supplies,ER-CBF,10,0.02746,
Pet Supplies,ER-CBF,15,0.03691,
Pet Supplies,ER-CBF,20,0.04233,
Pet Supplies,MOD-ECF,5,0.00524,
Pet Supplies,MOD-ECF,10,0.01000,
Pet Supplies,MOD-ECF,15,0.01493,
Pet Supplies,MOD-ECF,20,0.01788,
